support,itemsets
0.1562094331458243,"frozenset({'Executioner', 'Miner', 'Zap'})"
0.11423626135871917,"frozenset({'Executioner', 'Night Witch', 'Poison'})"
0.1479878840328862,"frozenset({'Executioner', 'Night Witch', 'Rocket'})"
0.18563392470791865,"frozenset({'Executioner', 'Night Witch', 'Skeletons'})"
0.2003461704889658,"frozenset({'Executioner', 'The Log', 'Night Witch'})"
0.3059281696235396,"frozenset({'Tornado', 'Executioner', 'Night Witch'})"
0.1038511466897447,"frozenset({'Executioner', 'Night Witch', 'Zap'})"
0.1280830809173518,"frozenset({'Executioner', 'Skeletons', 'Poison'})"
0.11726525313717005,"frozenset({'Executioner', 'The Log', 'Poison'})"
0.19688446559930767,"frozenset({'Tornado', 'Executioner', 'Poison'})"
0.16572912159238426,"frozenset({'Executioner', 'Skeletons', 'Rocket'})"
0.18563392470791865,"frozenset({'Executioner', 'The Log', 'Rocket'})"
0.2176546949372566,"frozenset({'Tornado', 'Executioner', 'Rocket'})"
0.2596278667243617,"frozenset({'Executioner', 'The Log', 'Skeletons'})"
0.32323669407183037,"frozenset({'Tornado', 'Executioner', 'Skeletons'})"
0.15707485936823887,"frozenset({'Executioner', 'Valkyrie', 'Skeletons'})"
0.13457377758546085,"frozenset({'Executioner', 'Skeletons', 'Zap'})"
0.10688013846819559,"frozenset({'Tornado', 'Executioner', 'Sparky'})"
0.32929467762873216,"frozenset({'Tornado', 'Executioner', 'The Log'})"
0.14712245781047165,"frozenset({'Executioner', 'The Log', 'Valkyrie'})"
0.11207269580268282,"frozenset({'Executioner', 'The Log', 'Zap'})"
0.22371267849415838,"frozenset({'Tornado', 'Executioner', 'Valkyrie'})"
0.2276070964950238,"frozenset({'Tornado', 'Executioner', 'Zap'})"
0.10298572046733016,"frozenset({'Executioner', 'Valkyrie', 'Zap'})"
0.10947641713543921,"frozenset({'Fireball', 'The Log', 'Skeletons'})"
0.1224578104716573,"frozenset({'Tornado', 'Graveyard', 'Freeze'})"
0.1224578104716573,"frozenset({'Tornado', 'Golem', 'Night Witch'})"
0.10947641713543921,"frozenset({'Tornado', 'Poison', 'Graveyard'})"
0.10471657291215924,"frozenset({'The Log', 'Ice Golem', 'Ice Spirit'})"
0.12635222847252273,"frozenset({'The Log', 'Skeletons', 'Ice Golem'})"
